domain,problem,planner,PlanCost,Runtime_internal_s,Runtime_wall_s,Status
barman-sequential-agile,instance-1.pddl,fd,,,,TIMEOUT
barman-sequential-agile,instance-10.pddl,fd,,,,TIMEOUT
barman-sequential-agile,instance-11.pddl,fd,,,,TIMEOUT
barman-sequential-agile,instance-12.pddl,fd,,,,TIMEOUT
barman-sequential-agile,instance-13.pddl,fd,,,,TIMEOUT
barman-sequential-agile,instance-14.pddl,fd,,,,TIMEOUT
barman-sequential-agile,instance-15.pddl,fd,,,,TIMEOUT
barman-sequential-agile,instance-16.pddl,fd,,,,TIMEOUT
barman-sequential-agile,instance-17.pddl,fd,,,,TIMEOUT
barman-sequential-agile,instance-18.pddl,fd,,,,TIMEOUT
barman-sequential-agile,instance-19.pddl,fd,,,,TIMEOUT
barman-sequential-agile,instance-2.pddl,fd,,,,TIMEOUT
barman-sequential-agile,instance-20.pddl,fd,,,,TIMEOUT
barman-sequential-agile,instance-3.pddl,fd,,,,TIMEOUT
barman-sequential-agile,instance-4.pddl,fd,,,,TIMEOUT
barman-sequential-agile,instance-5.pddl,fd,,,,TIMEOUT
barman-sequential-agile,instance-6.pddl,fd,,,,TIMEOUT
barman-sequential-agile,instance-7.pddl,fd,,,,TIMEOUT
barman-sequential-agile,instance-8.pddl,fd,,,,TIMEOUT
barman-sequential-agile,instance-9.pddl,fd,,,,TIMEOUT
blocks-strips-typed,instance-1.pddl,fd,6,0.005607,1.538936,SUCCESS
blocks-strips-typed,instance-10.pddl,fd,22,0.008737,1.262542,SUCCESS
blocks-strips-typed,instance-11.pddl,fd,32,0.010466,1.107905,SUCCESS
blocks-strips-typed,instance-12.pddl,fd,44,0.01217,0.912477,SUCCESS
blocks-strips-typed,instance-13.pddl,fd,38,0.013684,1.631623,SUCCESS
blocks-strips-typed,instance-14.pddl,fd,24,0.011168,1.553383,SUCCESS
blocks-strips-typed,instance-15.pddl,fd,26,0.010344,1.21406,SUCCESS
blocks-strips-typed,instance-16.pddl,fd,60,0.021122,1.56443,SUCCESS
blocks-strips-typed,instance-17.pddl,fd,64,0.021613,1.94996,SUCCESS
blocks-strips-typed,instance-18.pddl,fd,48,0.019401,1.746723,SUCCESS
blocks-strips-typed,instance-19.pddl,fd,48,0.018951,0.832356,SUCCESS
blocks-strips-typed,instance-2.pddl,fd,10,0.005282,0.989065,SUCCESS
blocks-strips-typed,instance-20.pddl,fd,64,0.026752,1.738091,SUCCESS
blocks-strips-typed,instance-3.pddl,fd,6,0.004995,1.210812,SUCCESS
blocks-strips-typed,instance-4.pddl,fd,12,0.005914,1.384254,SUCCESS
blocks-strips-typed,instance-5.pddl,fd,10,0.006068,1.284764,SUCCESS
blocks-strips-typed,instance-6.pddl,fd,20,0.007407,1.350026,SUCCESS
blocks-strips-typed,instance-7.pddl,fd,12,0.006366,1.564029,SUCCESS
blocks-strips-typed,instance-8.pddl,fd,14,0.007196,1.404548,SUCCESS
blocks-strips-typed,instance-9.pddl,fd,28,0.008551,1.352207,SUCCESS
cave-diving-sequential-agile,instance-1.pddl,fd,,,,TIMEOUT
cave-diving-sequential-agile,instance-10.pddl,fd,,,,TIMEOUT
cave-diving-sequential-agile,instance-11.pddl,fd,,,,TIMEOUT
cave-diving-sequential-agile,instance-12.pddl,fd,,,,TIMEOUT
cave-diving-sequential-agile,instance-13.pddl,fd,,,,TIMEOUT
cave-diving-sequential-agile,instance-14.pddl,fd,,,,TIMEOUT
cave-diving-sequential-agile,instance-15.pddl,fd,,,,TIMEOUT
cave-diving-sequential-agile,instance-16.pddl,fd,,,,TIMEOUT
cave-diving-sequential-agile,instance-17.pddl,fd,,,,TIMEOUT
cave-diving-sequential-agile,instance-18.pddl,fd,131,176.991296,177.292774,SUCCESS
cave-diving-sequential-agile,instance-19.pddl,fd,,,,TIMEOUT
cave-diving-sequential-agile,instance-2.pddl,fd,,,,TIMEOUT
cave-diving-sequential-agile,instance-20.pddl,fd,98,286.703415,287.306852,SUCCESS
cave-diving-sequential-agile,instance-3.pddl,fd,,,,TIMEOUT
cave-diving-sequential-agile,instance-4.pddl,fd,,,,TIMEOUT
cave-diving-sequential-agile,instance-5.pddl,fd,,,,TIMEOUT
cave-diving-sequential-agile,instance-6.pddl,fd,94,140.136178,173.594473,SUCCESS
cave-diving-sequential-agile,instance-7.pddl,fd,95,143.451641,181.960297,SUCCESS
cave-diving-sequential-agile,instance-8.pddl,fd,131,137.297052,187.525108,SUCCESS
cave-diving-sequential-agile,instance-9.pddl,fd,90,144.233745,199.179179,SUCCESS
child-snack-sequential-agile,instance-1.pddl,fd,57,176.391951,248.976759,SUCCESS
child-snack-sequential-agile,instance-10.pddl,fd,,,,TIMEOUT
child-snack-sequential-agile,instance-11.pddl,fd,,,,TIMEOUT
child-snack-sequential-agile,instance-12.pddl,fd,,,,TIMEOUT
child-snack-sequential-agile,instance-13.pddl,fd,,,,TIMEOUT
child-snack-sequential-agile,instance-14.pddl,fd,,,,TIMEOUT
child-snack-sequential-agile,instance-15.pddl,fd,,,,TIMEOUT
child-snack-sequential-agile,instance-16.pddl,fd,,,,TIMEOUT
child-snack-sequential-agile,instance-17.pddl,fd,,,,TIMEOUT
child-snack-sequential-agile,instance-18.pddl,fd,,,,TIMEOUT
child-snack-sequential-agile,instance-19.pddl,fd,,,,TIMEOUT
child-snack-sequential-agile,instance-2.pddl,fd,,,,TIMEOUT
child-snack-sequential-agile,instance-20.pddl,fd,,,,TIMEOUT
child-snack-sequential-agile,instance-3.pddl,fd,64,40.318343,56.510278,SUCCESS
child-snack-sequential-agile,instance-4.pddl,fd,67,2.374782,4.59032,SUCCESS
child-snack-sequential-agile,instance-5.pddl,fd,,,,TIMEOUT
child-snack-sequential-agile,instance-6.pddl,fd,,,,TIMEOUT
child-snack-sequential-agile,instance-7.pddl,fd,,,,TIMEOUT
child-snack-sequential-agile,instance-8.pddl,fd,,,,TIMEOUT
child-snack-sequential-agile,instance-9.pddl,fd,,,,TIMEOUT
city-car-sequential-agile,instance-1.pddl,fd,149,0.599105,2.639197,SUCCESS
city-car-sequential-agile,instance-10.pddl,fd,172,125.944943,285.476129,SUCCESS
city-car-sequential-agile,instance-11.pddl,fd,,,,TIMEOUT
city-car-sequential-agile,instance-12.pddl,fd,239,47.708965,110.794884,SUCCESS
city-car-sequential-agile,instance-13.pddl,fd,,,,TIMEOUT
city-car-sequential-agile,instance-14.pddl,fd,,,,TIMEOUT
city-car-sequential-agile,instance-15.pddl,fd,432,80.027726,203.471887,SUCCESS
city-car-sequential-agile,instance-16.pddl,fd,136,10.497863,29.597059,SUCCESS
city-car-sequential-agile,instance-17.pddl,fd,,,,TIMEOUT
city-car-sequential-agile,instance-18.pddl,fd,210,253.981074,255.358391,SUCCESS
city-car-sequential-agile,instance-19.pddl,fd,395,41.225237,42.21255,SUCCESS
city-car-sequential-agile,instance-2.pddl,fd,254,0.549773,0.885758,SUCCESS
city-car-sequential-agile,instance-20.pddl,fd,,,,TIMEOUT
city-car-sequential-agile,instance-3.pddl,fd,149,1.828773,2.211452,SUCCESS
city-car-sequential-agile,instance-4.pddl,fd,252,2.333464,2.757585,SUCCESS
