domain,problem,planner,PlanCost,Runtime_internal_s,Runtime_wall_s,Status
child-snack-sequential-agile,instance-1.pddl,madagascar,36,0.04,0.070466,SUCCESS
child-snack-sequential-agile,instance-10.pddl,madagascar,,,,TIMEOUT
child-snack-sequential-agile,instance-11.pddl,madagascar,,,,TIMEOUT
child-snack-sequential-agile,instance-12.pddl,madagascar,,,,TIMEOUT
child-snack-sequential-agile,instance-13.pddl,madagascar,,,,TIMEOUT
child-snack-sequential-agile,instance-14.pddl,madagascar,,,,TIMEOUT
child-snack-sequential-agile,instance-15.pddl,madagascar,,,,TIMEOUT
child-snack-sequential-agile,instance-16.pddl,madagascar,66,51.81,56.791433,SUCCESS
child-snack-sequential-agile,instance-17.pddl,madagascar,,,,TIMEOUT
child-snack-sequential-agile,instance-18.pddl,madagascar,,,,TIMEOUT
child-snack-sequential-agile,instance-19.pddl,madagascar,,,,TIMEOUT
child-snack-sequential-agile,instance-2.pddl,madagascar,38,0.07,0.098404,SUCCESS
child-snack-sequential-agile,instance-20.pddl,madagascar,,,,TIMEOUT
child-snack-sequential-agile,instance-3.pddl,madagascar,38,0.11,0.139785,SUCCESS
child-snack-sequential-agile,instance-4.pddl,madagascar,43,0.08,0.113149,SUCCESS
child-snack-sequential-agile,instance-5.pddl,madagascar,,,,TIMEOUT
child-snack-sequential-agile,instance-6.pddl,madagascar,47,0.21,0.257976,SUCCESS
child-snack-sequential-agile,instance-7.pddl,madagascar,47,0.36,0.427109,SUCCESS
child-snack-sequential-agile,instance-8.pddl,madagascar,,,,TIMEOUT
child-snack-sequential-agile,instance-9.pddl,madagascar,,,,TIMEOUT
city-car-sequential-agile,instance-1.pddl,madagascar,26,0.1,0.132321,SUCCESS
city-car-sequential-agile,instance-10.pddl,madagascar,,,,TIMEOUT
city-car-sequential-agile,instance-11.pddl,madagascar,,,,TIMEOUT
city-car-sequential-agile,instance-12.pddl,madagascar,97,192.18,194.732181,SUCCESS
city-car-sequential-agile,instance-13.pddl,madagascar,,,,TIMEOUT
city-car-sequential-agile,instance-14.pddl,madagascar,,,,TIMEOUT
