domain,problem,planner,PlanCost,Runtime_internal_s,Runtime_wall_s,Status
child-snack-sequential-agile,instance-1.pddl,mercury,52,17.96,18.725028,SUCCESS
child-snack-sequential-agile,instance-10.pddl,mercury,,,168.082543,FAILURE
child-snack-sequential-agile,instance-11.pddl,mercury,,,161.112691,FAILURE
child-snack-sequential-agile,instance-12.pddl,mercury,,,164.576514,FAILURE
child-snack-sequential-agile,instance-13.pddl,mercury,,,166.86859,FAILURE
child-snack-sequential-agile,instance-14.pddl,mercury,,,180.903589,FAILURE
child-snack-sequential-agile,instance-15.pddl,mercury,,,174.008647,FAILURE
child-snack-sequential-agile,instance-16.pddl,mercury,,,178.762166,FAILURE
child-snack-sequential-agile,instance-17.pddl,mercury,,,191.016745,FAILURE
city-car-sequential-agile,instance-1.pddl,mercury,201,1.42,2.839753,SUCCESS
child-snack-sequential-agile,instance-18.pddl,mercury,,,208.458304,FAILURE
child-snack-sequential-agile,instance-19.pddl,mercury,,,102.25322,FAILURE
child-snack-sequential-agile,instance-2.pddl,mercury,53,63.22,63.99716,SUCCESS
child-snack-sequential-agile,instance-20.pddl,mercury,,,101.304091,FAILURE
child-snack-sequential-agile,instance-3.pddl,mercury,60,35.02,35.841064,SUCCESS
child-snack-sequential-agile,instance-4.pddl,mercury,66,94.95,95.878847,SUCCESS
child-snack-sequential-agile,instance-5.pddl,mercury,69,252.89,253.972103,SUCCESS
child-snack-sequential-agile,instance-6.pddl,mercury,68,53.92,54.890274,SUCCESS
child-snack-sequential-agile,instance-7.pddl,mercury,,,156.127647,FAILURE
child-snack-sequential-agile,instance-8.pddl,mercury,,,,TIMEOUT
child-snack-sequential-agile,instance-9.pddl,mercury,,,169.367262,FAILURE
city-car-sequential-agile,instance-10.pddl,mercury,,,,TIMEOUT
city-car-sequential-agile,instance-11.pddl,mercury,,,,TIMEOUT
city-car-sequential-agile,instance-12.pddl,mercury,,,,TIMEOUT
city-car-sequential-agile,instance-13.pddl,mercury,,,,TIMEOUT
city-car-sequential-agile,instance-14.pddl,mercury,,,,TIMEOUT
city-car-sequential-agile,instance-15.pddl,mercury,,,,TIMEOUT
city-car-sequential-agile,instance-16.pddl,mercury,,,,TIMEOUT
city-car-sequential-agile,instance-17.pddl,mercury,,,,TIMEOUT
city-car-sequential-agile,instance-18.pddl,mercury,,,,TIMEOUT
city-car-sequential-agile,instance-19.pddl,mercury,,,,TIMEOUT
city-car-sequential-agile,instance-2.pddl,mercury,384,15.45,17.59512,SUCCESS
city-car-sequential-agile,instance-20.pddl,mercury,,,,TIMEOUT
city-car-sequential-agile,instance-3.pddl,mercury,252,222.83,248.079575,SUCCESS
city-car-sequential-agile,instance-4.pddl,mercury,,,,TIMEOUT
city-car-sequential-agile,instance-5.pddl,mercury,178,129.66,135.25386,SUCCESS
city-car-sequential-agile,instance-6.pddl,mercury,,,,TIMEOUT
city-car-sequential-agile,instance-7.pddl,mercury,,,,TIMEOUT
city-car-sequential-agile,instance-8.pddl,mercury,,,,TIMEOUT
city-car-sequential-agile,instance-9.pddl,mercury,,,,TIMEOUT
floor-tile-sequential-agile,instance-1.pddl,mercury,94,7.35,7.874642,SUCCESS
floor-tile-sequential-agile,instance-10.pddl,mercury,,,,TIMEOUT
floor-tile-sequential-agile,instance-11.pddl,mercury,,,,TIMEOUT
floor-tile-sequential-agile,instance-12.pddl,mercury,,,,TIMEOUT
floor-tile-sequential-agile,instance-13.pddl,mercury,,,,TIMEOUT
floor-tile-sequential-agile,instance-14.pddl,mercury,,,,TIMEOUT
floor-tile-sequential-agile,instance-15.pddl,mercury,,,,TIMEOUT
floor-tile-sequential-agile,instance-16.pddl,mercury,,,,TIMEOUT
floor-tile-sequential-agile,instance-17.pddl,mercury,,,,TIMEOUT
floor-tile-sequential-agile,instance-18.pddl,mercury,93,0.27,1.509822,SUCCESS
floor-tile-sequential-agile,instance-19.pddl,mercury,,,,TIMEOUT
floor-tile-sequential-agile,instance-2.pddl,mercury,,,,TIMEOUT
floor-tile-sequential-agile,instance-20.pddl,mercury,,,,TIMEOUT
floor-tile-sequential-agile,instance-3.pddl,mercury,,,,TIMEOUT
