domain,problem,planner,PlanCost,Runtime_internal_s,Runtime_wall_s,Status
barman-sequential-agile,instance-1.pddl,siw,,0.004946,0.274985,FAILURE
barman-sequential-agile,instance-10.pddl,siw,,0.003634,0.208253,FAILURE
barman-sequential-agile,instance-11.pddl,siw,,0.006005,0.195731,FAILURE
barman-sequential-agile,instance-12.pddl,siw,,0.00386899,0.320219,FAILURE
barman-sequential-agile,instance-13.pddl,siw,,0.005739,0.342474,FAILURE
barman-sequential-agile,instance-14.pddl,siw,,0.003466,0.17306,FAILURE
barman-sequential-agile,instance-15.pddl,siw,,0.005091,0.255465,FAILURE
barman-sequential-agile,instance-16.pddl,siw,,0.004157,0.258714,FAILURE
barman-sequential-agile,instance-17.pddl,siw,,0.002847,0.147213,FAILURE
barman-sequential-agile,instance-18.pddl,siw,,0.004329,0.124108,FAILURE
barman-sequential-agile,instance-19.pddl,siw,,0.005576,0.248959,FAILURE
barman-sequential-agile,instance-2.pddl,siw,,0.00603,0.254093,FAILURE
barman-sequential-agile,instance-20.pddl,siw,,0.00504401,0.303975,FAILURE
barman-sequential-agile,instance-3.pddl,siw,,0.004045,0.172149,FAILURE
barman-sequential-agile,instance-4.pddl,siw,,0.002785,0.137604,FAILURE
barman-sequential-agile,instance-5.pddl,siw,,0.003245,0.135577,FAILURE
barman-sequential-agile,instance-6.pddl,siw,,0.003486,0.249617,FAILURE
barman-sequential-agile,instance-7.pddl,siw,,0.005056,0.300369,FAILURE
barman-sequential-agile,instance-8.pddl,siw,,0.007555,0.222889,FAILURE
barman-sequential-agile,instance-9.pddl,siw,,0.002927,0.165091,FAILURE
blocks-strips-typed,instance-1.pddl,siw,6,0.000229,0.024331,SUCCESS
blocks-strips-typed,instance-10.pddl,siw,20,0.000407,0.035345,SUCCESS
blocks-strips-typed,instance-11.pddl,siw,,0.000232,0.037313,FAILURE
blocks-strips-typed,instance-12.pddl,siw,,0.000319,0.038838,FAILURE
blocks-strips-typed,instance-13.pddl,siw,18,0.000981,0.053546,SUCCESS
blocks-strips-typed,instance-14.pddl,siw,,0.000871,0.017645,FAILURE
blocks-strips-typed,instance-15.pddl,siw,16,0.000822,0.039461,SUCCESS
blocks-strips-typed,instance-16.pddl,siw,,0.000717,0.020975,FAILURE
blocks-strips-typed,instance-17.pddl,siw,,0.00047,0.038339,FAILURE
blocks-strips-typed,instance-18.pddl,siw,26,0.001257,0.044235,SUCCESS
blocks-strips-typed,instance-19.pddl,siw,,0.000745,0.031076,FAILURE
blocks-strips-typed,instance-2.pddl,siw,10,0.000329,0.030278,SUCCESS
blocks-strips-typed,instance-20.pddl,siw,,0.000524,0.043381,FAILURE
blocks-strips-typed,instance-3.pddl,siw,6,0.000164,0.013436,SUCCESS
blocks-strips-typed,instance-4.pddl,siw,,0.000276,0.035259,FAILURE
blocks-strips-typed,instance-5.pddl,siw,10,0.00042,0.0317,SUCCESS
blocks-strips-typed,instance-6.pddl,siw,,0.000253,0.029276,FAILURE
blocks-strips-typed,instance-7.pddl,siw,,0.000182,0.032553,FAILURE
blocks-strips-typed,instance-8.pddl,siw,10,0.000332,0.027067,SUCCESS
blocks-strips-typed,instance-9.pddl,siw,20,0.000424,0.026156,SUCCESS
cave-diving-sequential-agile,instance-1.pddl,siw,,0.002212,0.278073,FAILURE
cave-diving-sequential-agile,instance-10.pddl,siw,,0.05956,1.090276,FAILURE
cave-diving-sequential-agile,instance-11.pddl,siw,,0.143782,1.11506,FAILURE
cave-diving-sequential-agile,instance-12.pddl,siw,,0.1113,1.258482,FAILURE
cave-diving-sequential-agile,instance-13.pddl,siw,,0.153864,1.230777,FAILURE
cave-diving-sequential-agile,instance-14.pddl,siw,,0.005086,0.286654,FAILURE
cave-diving-sequential-agile,instance-15.pddl,siw,,0.002561,0.194844,FAILURE
cave-diving-sequential-agile,instance-16.pddl,siw,,0.004817,0.136739,FAILURE
cave-diving-sequential-agile,instance-17.pddl,siw,,0.003293,0.239318,FAILURE
cave-diving-sequential-agile,instance-18.pddl,siw,,0.000263,0.06478,FAILURE
cave-diving-sequential-agile,instance-19.pddl,siw,,0.000222999,0.04305,FAILURE
cave-diving-sequential-agile,instance-2.pddl,siw,,0.001703,0.212454,FAILURE
cave-diving-sequential-agile,instance-20.pddl,siw,,0.0002,0.059531,FAILURE
cave-diving-sequential-agile,instance-3.pddl,siw,,0.004519,0.178185,FAILURE
cave-diving-sequential-agile,instance-4.pddl,siw,,0.003597,0.192769,FAILURE
cave-diving-sequential-agile,instance-5.pddl,siw,,0.001563,0.155177,FAILURE
cave-diving-sequential-agile,instance-6.pddl,siw,,0.000168001,0.062945,FAILURE
cave-diving-sequential-agile,instance-7.pddl,siw,,0.000162,0.053138,FAILURE
cave-diving-sequential-agile,instance-8.pddl,siw,,0.000151999,0.054874,FAILURE
cave-diving-sequential-agile,instance-9.pddl,siw,,0.000217001,0.072242,FAILURE
child-snack-sequential-agile,instance-1.pddl,siw,,0.085407,0.222267,FAILURE
child-snack-sequential-agile,instance-10.pddl,siw,,0.654128,0.958096,FAILURE
child-snack-sequential-agile,instance-11.pddl,siw,,0.854464,1.184769,FAILURE
child-snack-sequential-agile,instance-12.pddl,siw,,0.837551,1.19754,FAILURE
child-snack-sequential-agile,instance-13.pddl,siw,,1.48702,2.517622,FAILURE
child-snack-sequential-agile,instance-14.pddl,siw,,1.87107,2.523677,FAILURE
child-snack-sequential-agile,instance-15.pddl,siw,,1.92166,2.48433,FAILURE
child-snack-sequential-agile,instance-16.pddl,siw,,2.35147,3.21108,FAILURE
child-snack-sequential-agile,instance-17.pddl,siw,,3.03406,4.457709,FAILURE
child-snack-sequential-agile,instance-18.pddl,siw,,3.91322,5.652069,FAILURE
child-snack-sequential-agile,instance-19.pddl,siw,,7.15792,10.066102,FAILURE
child-snack-sequential-agile,instance-2.pddl,siw,,0.096345,0.313911,FAILURE
child-snack-sequential-agile,instance-20.pddl,siw,,7.1971,10.005882,FAILURE
child-snack-sequential-agile,instance-3.pddl,siw,,0.168731,0.476802,FAILURE
child-snack-sequential-agile,instance-4.pddl,siw,,0.229988,0.462839,FAILURE
child-snack-sequential-agile,instance-5.pddl,siw,,0.327904,0.548753,FAILURE
child-snack-sequential-agile,instance-6.pddl,siw,,0.311804,0.534748,FAILURE
child-snack-sequential-agile,instance-7.pddl,siw,,0.484732,0.785055,FAILURE
child-snack-sequential-agile,instance-8.pddl,siw,,0.454162,0.69495,FAILURE
child-snack-sequential-agile,instance-9.pddl,siw,,0.66312,1.172123,FAILURE
city-car-sequential-agile,instance-1.pddl,siw,,0.031772,0.18717,FAILURE
city-car-sequential-agile,instance-10.pddl,siw,,0.249275,0.620644,FAILURE
city-car-sequential-agile,instance-11.pddl,siw,,0.270839,0.728087,FAILURE
city-car-sequential-agile,instance-12.pddl,siw,,0.262168,0.679767,FAILURE
city-car-sequential-agile,instance-13.pddl,siw,,0.27058,0.730951,FAILURE
city-car-sequential-agile,instance-14.pddl,siw,,0.280287,0.965575,FAILURE
