planner,domain,Coverage,IPC_Score,PAR10
bfs_f,barman-sequential-agile,0.95,19.0,219.6
bfs_f,blocks-strips-typed,1.0,20.0,0.0
bfs_f,cave-diving-sequential-agile,0.35,7.0,1958.4
bfs_f,child-snack-sequential-agile,0.5,10.0,1520.4
bfs_f,city-car-sequential-agile,0.8,16.0,667.7
bfs_f,floor-tile-sequential-agile,0.15,3.0,2563.7
bfs_f,genome-edit-distances-sequential-agile,0.55,11.0,1385.5
bfs_f,hiking-sequential-agile,0.2,4.0,2402.2
bfs_f,maintenance-sequential-agile,0.45,9.0,1674.6
bfs_f,parking-sequential-agile,0.7,14.0,947.2
bfs_f,tetris-sequential-agile,0.05,1.0,2853.3
bfs_f,thoughtful-sequential-agile,1.0,20.0,10.8
bfs_f,transport-sequential-agile,0.9,18.0,349.9
bfs_f,visit-all-sequential-agile,1.0,20.0,124.7
mercury,child-snack-sequential-agile,0.3,6.0,2126.2
mercury,city-car-sequential-agile,0.2,4.0,2420.2
mercury,floor-tile-sequential-agile,0.1,2.0,2700.5
mercury,hiking-sequential-agile,0.4,8.0,1805.1
mercury,parking-sequential-agile,0.25,5.0,2294.7
mercury,transport-sequential-agile,1.0,20.0,32.0
mercury,barman-sequential-agile,0.7,14.0,963.5
mercury,blocks-strips-typed,1.0,20.0,0.3
mercury,cave-diving-sequential-agile,0.35,7.0,1971.3
mercury,genome-edit-distances-sequential-agile,1.0,20.0,12.1
mercury,maintenance-sequential-agile,0.5,10.0,1501.9
mercury,tetris-sequential-agile,0.5,10.0,1562.6
mercury,thoughtful-sequential-agile,0.6,12.0,1203.7
mercury,visit-all-sequential-agile,0.0,0.0,3000.0
fd,barman-sequential-agile,0.0,0.0,3000.0
fd,blocks-strips-typed,1.0,20.0,1.4
fd,cave-diving-sequential-agile,0.3,6.0,2160.3
fd,child-snack-sequential-agile,0.15,3.0,2565.5
fd,city-car-sequential-agile,0.7,14.0,959.7
fd,floor-tile-sequential-agile,0.1,2.0,2701.3
fd,genome-edit-distances-sequential-agile,0.0,0.0,3000.0
fd,hiking-sequential-agile,0.55,11.0,1365.8
fd,maintenance-sequential-agile,0.05,1.0,2852.9
fd,parking-sequential-agile,0.05,1.0,2856.7
fd,tetris-sequential-agile,0.05,1.0,2853.1
fd,thoughtful-sequential-agile,0.4,8.0,1814.7
fd,transport-sequential-agile,0.0,0.0,3000.0
fd,visit-all-sequential-agile,0.0,0.0,3000.0
siw,barman-sequential-agile,0.0,0.0,3000.0
siw,blocks-strips-typed,0.5,10.0,1500.0
siw,cave-diving-sequential-agile,0.0,0.0,3000.0
siw,child-snack-sequential-agile,0.0,0.0,3000.0
siw,city-car-sequential-agile,0.0,0.0,3000.0
siw,floor-tile-sequential-agile,0.0,0.0,3000.0
siw,genome-edit-distances-sequential-agile,0.0,0.0,3000.0
siw,hiking-sequential-agile,0.0,0.0,3000.0
siw,maintenance-sequential-agile,0.0,0.0,3000.0
siw,parking-sequential-agile,0.0,0.0,3000.0
siw,tetris-sequential-agile,0.0,0.0,3000.0
siw,thoughtful-sequential-agile,0.0,0.0,3000.0
siw,transport-sequential-agile,0.0,0.0,3000.0
siw,visit-all-sequential-agile,1.0,20.0,127.6
madagascar,child-snack-sequential-agile,0.35,7.0,1952.9
madagascar,city-car-sequential-agile,0.5,10.0,1535.6
madagascar,floor-tile-sequential-agile,1.0,20.0,0.0
madagascar,hiking-sequential-agile,0.3,6.0,2109.4
madagascar,parking-sequential-agile,0.3,6.0,2170.7
madagascar,transport-sequential-agile,0.0,0.0,3000.0
madagascar,barman-sequential-agile,0.2,4.0,2432.3
madagascar,blocks-strips-typed,1.0,20.0,0.1
madagascar,cave-diving-sequential-agile,0.25,5.0,2263.9
madagascar,genome-edit-distances-sequential-agile,0.6,12.0,1260.2
madagascar,maintenance-sequential-agile,0.7,14.0,913.9
madagascar,tetris-sequential-agile,0.25,5.0,2300.1
madagascar,thoughtful-sequential-agile,0.25,5.0,2251.0
madagascar,visit-all-sequential-agile,0.0,0.0,3000.0
