domain,problem,LLM_Model,Prompt_ID,LLM_Temperature,LLM_API_Time_s,Valid_Domain
visit-all-sequential-agile__gemini__zero_shot_short__0.2.pddl,domain_tmp_71983ac5.pddl,gemini,zero_shot_short,0.2,6.286255598068237,False
visit-all-sequential-agile__gemini__zero_shot_short__0.2.pddl,instance-1.pddl,gemini,zero_shot_short,0.2,6.286255598068237,True
visit-all-sequential-agile__gemini__zero_shot_short__0.2.pddl,instance-10.pddl,gemini,zero_shot_short,0.2,6.286255598068237,True
visit-all-sequential-agile__gemini__zero_shot_short__0.2.pddl,instance-11.pddl,gemini,zero_shot_short,0.2,6.286255598068237,True
visit-all-sequential-agile__gemini__zero_shot_short__0.2.pddl,instance-12.pddl,gemini,zero_shot_short,0.2,6.286255598068237,True
visit-all-sequential-agile__gemini__zero_shot_short__0.2.pddl,instance-13.pddl,gemini,zero_shot_short,0.2,6.286255598068237,True
visit-all-sequential-agile__gemini__zero_shot_short__0.2.pddl,instance-14.pddl,gemini,zero_shot_short,0.2,6.286255598068237,True
visit-all-sequential-agile__gemini__zero_shot_short__0.2.pddl,instance-15.pddl,gemini,zero_shot_short,0.2,6.286255598068237,True
visit-all-sequential-agile__gemini__zero_shot_short__0.2.pddl,instance-16.pddl,gemini,zero_shot_short,0.2,6.286255598068237,True
visit-all-sequential-agile__gemini__zero_shot_short__0.2.pddl,instance-17.pddl,gemini,zero_shot_short,0.2,6.286255598068237,True
visit-all-sequential-agile__gemini__zero_shot_short__0.2.pddl,instance-18.pddl,gemini,zero_shot_short,0.2,6.286255598068237,True
visit-all-sequential-agile__gemini__zero_shot_short__0.2.pddl,instance-19.pddl,gemini,zero_shot_short,0.2,6.286255598068237,True
visit-all-sequential-agile__gemini__zero_shot_short__0.2.pddl,instance-2.pddl,gemini,zero_shot_short,0.2,6.286255598068237,True
visit-all-sequential-agile__gemini__zero_shot_short__0.2.pddl,instance-20.pddl,gemini,zero_shot_short,0.2,6.286255598068237,True
visit-all-sequential-agile__gemini__zero_shot_short__0.2.pddl,instance-3.pddl,gemini,zero_shot_short,0.2,6.286255598068237,True
visit-all-sequential-agile__gemini__zero_shot_short__0.2.pddl,instance-4.pddl,gemini,zero_shot_short,0.2,6.286255598068237,True
visit-all-sequential-agile__gemini__zero_shot_short__0.2.pddl,instance-5.pddl,gemini,zero_shot_short,0.2,6.286255598068237,True
visit-all-sequential-agile__gemini__zero_shot_short__0.2.pddl,instance-6.pddl,gemini,zero_shot_short,0.2,6.286255598068237,True
visit-all-sequential-agile__gemini__zero_shot_short__0.2.pddl,instance-7.pddl,gemini,zero_shot_short,0.2,6.286255598068237,True
visit-all-sequential-agile__gemini__zero_shot_short__0.2.pddl,instance-8.pddl,gemini,zero_shot_short,0.2,6.286255598068237,True
visit-all-sequential-agile__gemini__zero_shot_short__0.2.pddl,instance-9.pddl,gemini,zero_shot_short,0.2,6.286255598068237,True
visit-all-sequential-agile__gemini__zero_shot_short__0.5.pddl,domain_tmp_71983ac5.pddl,gemini,zero_shot_short,0.5,7.057814359664917,False
visit-all-sequential-agile__gemini__zero_shot_short__0.5.pddl,instance-1.pddl,gemini,zero_shot_short,0.5,7.057814359664917,True
visit-all-sequential-agile__gemini__zero_shot_short__0.5.pddl,instance-10.pddl,gemini,zero_shot_short,0.5,7.057814359664917,True
visit-all-sequential-agile__gemini__zero_shot_short__0.5.pddl,instance-11.pddl,gemini,zero_shot_short,0.5,7.057814359664917,True
visit-all-sequential-agile__gemini__zero_shot_short__0.5.pddl,instance-12.pddl,gemini,zero_shot_short,0.5,7.057814359664917,True
visit-all-sequential-agile__gemini__zero_shot_short__0.5.pddl,instance-13.pddl,gemini,zero_shot_short,0.5,7.057814359664917,True
visit-all-sequential-agile__gemini__zero_shot_short__0.5.pddl,instance-14.pddl,gemini,zero_shot_short,0.5,7.057814359664917,True
visit-all-sequential-agile__gemini__zero_shot_short__0.5.pddl,instance-15.pddl,gemini,zero_shot_short,0.5,7.057814359664917,True
visit-all-sequential-agile__gemini__zero_shot_short__0.5.pddl,instance-16.pddl,gemini,zero_shot_short,0.5,7.057814359664917,True
visit-all-sequential-agile__gemini__zero_shot_short__0.5.pddl,instance-17.pddl,gemini,zero_shot_short,0.5,7.057814359664917,True
visit-all-sequential-agile__gemini__zero_shot_short__0.5.pddl,instance-18.pddl,gemini,zero_shot_short,0.5,7.057814359664917,True
visit-all-sequential-agile__gemini__zero_shot_short__0.5.pddl,instance-19.pddl,gemini,zero_shot_short,0.5,7.057814359664917,True
visit-all-sequential-agile__gemini__zero_shot_short__0.5.pddl,instance-2.pddl,gemini,zero_shot_short,0.5,7.057814359664917,True
visit-all-sequential-agile__gemini__zero_shot_short__0.5.pddl,instance-20.pddl,gemini,zero_shot_short,0.5,8.062915086746216,True
visit-all-sequential-agile__gemini__zero_shot_short__0.5.pddl,instance-3.pddl,gemini,zero_shot_short,0.5,8.062915086746216,True
visit-all-sequential-agile__gemini__zero_shot_short__0.5.pddl,instance-4.pddl,gemini,zero_shot_short,0.5,8.062915086746216,True
visit-all-sequential-agile__gemini__zero_shot_short__0.5.pddl,instance-5.pddl,gemini,zero_shot_short,0.5,8.062915086746216,True
visit-all-sequential-agile__gemini__zero_shot_short__0.5.pddl,instance-6.pddl,gemini,zero_shot_short,0.5,8.062915086746216,True
visit-all-sequential-agile__gemini__zero_shot_short__0.5.pddl,instance-7.pddl,gemini,zero_shot_short,0.5,8.062915086746216,True
visit-all-sequential-agile__gemini__zero_shot_short__0.5.pddl,instance-8.pddl,gemini,zero_shot_short,0.5,8.062915086746216,True
visit-all-sequential-agile__gemini__zero_shot_short__0.5.pddl,instance-9.pddl,gemini,zero_shot_short,0.5,8.062915086746216,True
visit-all-sequential-agile__gemini__zero_shot_short__0.7.pddl,domain_tmp_71983ac5.pddl,gemini,zero_shot_short,0.7,7.077673435211182,False
visit-all-sequential-agile__gemini__zero_shot_short__0.7.pddl,instance-1.pddl,gemini,zero_shot_short,0.7,7.077673435211182,True
visit-all-sequential-agile__gemini__zero_shot_short__0.7.pddl,instance-10.pddl,gemini,zero_shot_short,0.7,7.077673435211182,True
visit-all-sequential-agile__gemini__zero_shot_short__0.7.pddl,instance-11.pddl,gemini,zero_shot_short,0.7,7.077673435211182,True
visit-all-sequential-agile__gemini__zero_shot_short__0.7.pddl,instance-12.pddl,gemini,zero_shot_short,0.7,7.077673435211182,True
visit-all-sequential-agile__gemini__zero_shot_short__0.7.pddl,instance-13.pddl,gemini,zero_shot_short,0.7,7.077673435211182,True
visit-all-sequential-agile__gemini__zero_shot_short__0.7.pddl,instance-14.pddl,gemini,zero_shot_short,0.7,7.077673435211182,True
visit-all-sequential-agile__gemini__zero_shot_short__0.7.pddl,instance-15.pddl,gemini,zero_shot_short,0.7,7.077673435211182,True
visit-all-sequential-agile__gemini__zero_shot_short__0.7.pddl,instance-16.pddl,gemini,zero_shot_short,0.7,7.077673435211182,True
visit-all-sequential-agile__gemini__zero_shot_short__0.7.pddl,instance-17.pddl,gemini,zero_shot_short,0.7,7.077673435211182,True
visit-all-sequential-agile__gemini__zero_shot_short__0.7.pddl,instance-18.pddl,gemini,zero_shot_short,0.7,7.077673435211182,True
visit-all-sequential-agile__gemini__zero_shot_short__0.7.pddl,instance-19.pddl,gemini,zero_shot_short,0.7,7.077673435211182,True
visit-all-sequential-agile__gemini__zero_shot_short__0.7.pddl,instance-2.pddl,gemini,zero_shot_short,0.7,7.077673435211182,True
visit-all-sequential-agile__gemini__zero_shot_short__0.7.pddl,instance-20.pddl,gemini,zero_shot_short,0.7,7.077673435211182,True
visit-all-sequential-agile__gemini__zero_shot_short__0.7.pddl,instance-3.pddl,gemini,zero_shot_short,0.7,7.077673435211182,True
visit-all-sequential-agile__gemini__zero_shot_short__0.7.pddl,instance-4.pddl,gemini,zero_shot_short,0.7,7.077673435211182,True
visit-all-sequential-agile__gemini__zero_shot_short__0.7.pddl,instance-5.pddl,gemini,zero_shot_short,0.7,7.077673435211182,True
visit-all-sequential-agile__gemini__zero_shot_short__0.7.pddl,instance-6.pddl,gemini,zero_shot_short,0.7,7.077673435211182,True
visit-all-sequential-agile__gemini__zero_shot_short__0.7.pddl,instance-7.pddl,gemini,zero_shot_short,0.7,7.077673435211182,True
visit-all-sequential-agile__gemini__zero_shot_short__0.7.pddl,instance-8.pddl,gemini,zero_shot_short,0.7,7.077673435211182,True
visit-all-sequential-agile__gemini__zero_shot_short__0.7.pddl,instance-9.pddl,gemini,zero_shot_short,0.7,7.077673435211182,True
visit-all-sequential-agile__claude__zero_shot_short__0.2.pddl,domain_tmp_71983ac5.pddl,claude,zero_shot_short,0.2,2.666128635406494,False
visit-all-sequential-agile__claude__zero_shot_short__0.2.pddl,instance-1.pddl,claude,zero_shot_short,0.2,2.666128635406494,True
visit-all-sequential-agile__claude__zero_shot_short__0.2.pddl,instance-10.pddl,claude,zero_shot_short,0.2,2.666128635406494,True
visit-all-sequential-agile__claude__zero_shot_short__0.2.pddl,instance-11.pddl,claude,zero_shot_short,0.2,2.666128635406494,True
visit-all-sequential-agile__claude__zero_shot_short__0.2.pddl,instance-12.pddl,claude,zero_shot_short,0.2,2.666128635406494,True
visit-all-sequential-agile__claude__zero_shot_short__0.2.pddl,instance-13.pddl,claude,zero_shot_short,0.2,2.666128635406494,True
visit-all-sequential-agile__claude__zero_shot_short__0.2.pddl,instance-14.pddl,claude,zero_shot_short,0.2,2.666128635406494,True
visit-all-sequential-agile__claude__zero_shot_short__0.2.pddl,instance-15.pddl,claude,zero_shot_short,0.2,2.666128635406494,True
visit-all-sequential-agile__claude__zero_shot_short__0.2.pddl,instance-16.pddl,claude,zero_shot_short,0.2,2.666128635406494,True
visit-all-sequential-agile__claude__zero_shot_short__0.2.pddl,instance-17.pddl,claude,zero_shot_short,0.2,2.666128635406494,True
visit-all-sequential-agile__claude__zero_shot_short__0.2.pddl,instance-18.pddl,claude,zero_shot_short,0.2,2.666128635406494,True
visit-all-sequential-agile__claude__zero_shot_short__0.2.pddl,instance-19.pddl,claude,zero_shot_short,0.2,2.666128635406494,True
visit-all-sequential-agile__claude__zero_shot_short__0.2.pddl,instance-2.pddl,claude,zero_shot_short,0.2,2.666128635406494,True
visit-all-sequential-agile__claude__zero_shot_short__0.2.pddl,instance-20.pddl,claude,zero_shot_short,0.2,2.666128635406494,True
visit-all-sequential-agile__claude__zero_shot_short__0.2.pddl,instance-3.pddl,claude,zero_shot_short,0.2,2.666128635406494,True
visit-all-sequential-agile__claude__zero_shot_short__0.2.pddl,instance-4.pddl,claude,zero_shot_short,0.2,2.666128635406494,True
visit-all-sequential-agile__claude__zero_shot_short__0.2.pddl,instance-5.pddl,claude,zero_shot_short,0.2,2.666128635406494,True
visit-all-sequential-agile__claude__zero_shot_short__0.2.pddl,instance-6.pddl,claude,zero_shot_short,0.2,2.666128635406494,True
visit-all-sequential-agile__claude__zero_shot_short__0.2.pddl,instance-7.pddl,claude,zero_shot_short,0.2,2.666128635406494,True
visit-all-sequential-agile__claude__zero_shot_short__0.2.pddl,instance-8.pddl,claude,zero_shot_short,0.2,2.666128635406494,True
